Country,Date,Log_DMSP,Log_GDP,Log_ELEC,Log_Population,Log_CO2,Log_N2O,Log_CH4,Log_F-gases,Poverty,REGION,SUBREGION
MTQ,2012,6.30,,0.49,,,,,,,19,29
MUS,2012,5.72,2.44,0.91,14.04,15.22,,,3.27,,2,14
MWI,2012,5.80,1.44,0.71,16.57,13.94,,,9.46,,2,14
MYS,2012,9.56,5.72,4.78,17.18,19.20,,,8.26,1.7,142,35
MYT,2012,2.95,,,,,,,,,2,14
NAM,2012,6.03,2.57,1.33,14.64,15.03,,,10.17,,2,18
NCL,2012,4.77,,1.00,12.46,15.10,,,1.10,,9,54
NER,2012,5.56,1.89,-0.07,16.69,14.44,,,7.25,,2,11
NFK,2012,,,,,,,,,,9,53
NGA,2012,9.11,6.14,3.21,18.94,18.42,,,11.24,,2,11
NIC,2012,6.37,2.37,1.27,15.59,15.36,,,7.04,,19,13
NIU,2012,,,-5.88,,,,,,,9,61
NLD,2012,9.46,6.71,4.68,16.63,18.95,,,8.50,,150,155
NOR,2012,9.39,6.21,4.75,15.43,17.73,,,7.51,,150,154
NPL,2012,4.76,2.96,1.18,17.13,15.58,,,8.99,,142,34
NRU,2012,,,-3.76,,10.61,,,,,9,57
NZL,2012,7.79,5.14,3.70,15.30,17.36,,,7.48,,9,53
OMN,2012,9.06,4.35,3.01,15.08,17.90,,,5.92,,142,145
PAK,2012,9.22,5.41,4.34,18.99,18.91,,,7.05,,142,34
PAN,2012,7.03,3.64,1.97,15.14,16.13,,,4.81,26.5,19,13
PCN,2012,,,,,,,,,,9,61
PER,2012,8.53,5.26,3.57,17.22,17.81,,,8.64,25.8,19,5
PHL,2012,8.04,5.52,4.12,18.38,18.33,,,8.27,25.23319,142,35
PLW,2012,,-1.46,,9.94,12.32,,,,,9,57
PNG,2012,5.34,2.75,1.14,15.78,15.42,,,7.69,,9,54
POL,2012,10.31,6.21,4.93,17.45,19.52,,,7.86,17.3,150,151
PRI,2012,8.32,4.62,2.92,15.11,,,,1.10,,19,29
PRK,2012,4.80,,2.75,17.02,17.71,,,8.34,,142,30
PRT,2012,9.47,5.38,3.84,16.17,17.65,,,8.65,,150,39
PRY,2012,7.69,3.20,2.09,15.67,15.47,,,9.92,26.9,19,5
PSE,2012,7.78,2.42,1.67,15.21,14.60,,,,,142,145
PYF,2012,4.37,,-0.43,12.52,13.61,,,,,9,61
QAT,2012,8.22,5.25,3.42,14.52,18.36,,,,,142,145
REU,2012,6.33,,1.01,,,,,,,2,14
ROU,2012,8.73,5.13,3.83,16.81,18.22,,,6.88,22.4,150,151
RUS,2012,11.70,7.61,6.79,18.78,21.33,,,12.83,10.7,150,151
RWA,2012,4.84,1.98,-1.01,16.20,13.51,,,7.12,,2,14
SAU,2012,10.81,6.60,5.45,17.20,20.15,,,7.97,,142,145
SDN,2012,7.78,4.15,2.07,17.45,16.50,,,12.60,,2,15
SEN,2012,6.12,2.64,0.95,16.44,15.88,,,10.33,,2,11
SGP,2012,6.32,5.66,3.78,15.49,17.82,,,8.10,,142,35
SGS,2012,,,,,,,,,,0,0
SHN,2012,,,-4.90,,,,,,,2,11
SJM,2012,,,,,,,,,,150,154
SLB,2012,,-0.01,-2.54,13.22,12.20,,,,,9,54
SLE,2012,3.19,1.26,-2.00,15.61,13.85,,,8.67,,2,11
SLV,2012,6.51,3.17,1.73,15.62,15.79,,,4.94,34.5,19,13
SMR,2012,4.20,,,10.35,,,,,,150,39
SOM,2012,3.75,,-1.23,16.12,13.37,,,5.07,,2,14
SPM,2012,1.82,,-3.22,,,,,,,19,21
SRB,2012,8.53,3.71,3.28,15.79,17.60,,,,,150,39
STP,2012,2.16,-1.33,-2.81,12.09,11.64,,,,,2,17
SUR,2012,5.78,1.61,0.45,13.18,14.74,,,2.71,,19,5
SVK,2012,7.84,4.53,3.25,15.50,17.30,,,7.36,12.8,150,151
SVN,2012,7.14,3.83,2.57,14.54,16.52,,,6.40,14.5,150,39
SWE,2012,9.71,6.30,4.87,16.07,17.67,,,7.70,,150,154
SWZ,2012,4.99,1.40,0.26,14.02,14.00,,,6.35,,2,18
SYC,2012,3.46,0.03,-1.22,11.39,13.46,,,,,2,14
SYR,2012,8.03,,3.25,16.88,17.60,,,4.58,,142,145
TCA,2012,3.38,,-1.79,10.39,12.20,,,,,19,29
TCD,2012,5.38,2.56,-1.66,16.36,13.20,,,11.24,,2,17
TGO,2012,5.28,1.37,-0.02,15.72,14.59,,,9.36,,2,11
THA,2012,9.73,5.90,5.05,18.02,19.54,,,10.73,12.6,142,35
TJK,2012,5.72,2.03,2.67,15.89,14.93,,,5.91,,142,143
TKL,2012,,,,,,,,,,9,61
TKM,2012,8.06,3.56,2.46,15.46,17.99,,,6.39,,142,143
TLS,2012,3.00,0.24,,13.95,12.59,,,,,142,35
TON,2012,,-0.75,-3.11,11.56,12.10,,,,,9,61
TTO,2012,7.46,3.15,2.12,14.11,17.63,,,5.56,,19,29
TUN,2012,8.14,3.81,2.59,16.19,17.11,,,2.93,,2,15
TUR,2012,10.01,6.67,5.28,18.12,19.61,,,9.03,2.3,142,145
TUV,2012,,-3.22,,9.20,,,,,,9,61
TWN,2012,9.27,,5.41,,,,,,,0,0
TZA,2012,6.29,3.34,1.51,17.70,16.07,,,12.14,,2,14
UGA,2012,5.56,3.00,1.04,17.38,15.22,,,10.67,19.5,2,14
UKR,2012,9.31,5.17,5.07,17.64,19.51,,,7.57,9.1,150,151
UMI,2012,,,,,,,,,,0,0
URY,2012,7.57,3.91,2.26,15.04,15.98,,,5.17,12.4,19,5
USA,2012,12.99,9.69,8.25,19.57,22.36,,,12.87,,19,21
UZB,2012,8.18,3.94,3.81,17.21,18.57,,,6.90,,142,143
VAT,2012,-0.99,,,,,,,,,150,39
VCT,2012,2.87,-0.37,,11.60,12.44,,,1.12,,19,29
VEN,2012,9.75,5.94,4.58,17.21,19.11,,,10.11,25.4,19,5
VGB,2012,3.27,,-2.97,,12.08,,,,,19,29
VIR,2012,5.14,,-0.32,11.56,,,,,,19,29
VNM,2012,8.95,5.05,4.68,18.30,18.88,,,10.15,17.2,142,35
VUT,2012,3.39,-0.25,-3.01,12.42,11.64,,,,,9,54
WLF,2012,,,,,,,,,,9,61
WSM,2012,-0.32,-0.22,-2.40,12.15,12.44,,,,,9,61
YEM,2012,7.68,3.47,1.34,17.03,16.72,,,2.77,,142,145
ZAF,2012,9.77,5.95,5.35,17.77,19.97,,,10.56,,2,18
ZMB,2012,7.00,3.22,2.12,16.51,15.06,,,12.62,,2,14
ZWE,2012,6.58,2.52,1.92,16.49,16.38,,,10.76,,2,14
ABW,2011,4.79,0.95,-0.09,11.53,14.71,,,,,19,29
AFG,2011,6.58,2.88,1.11,17.18,16.32,,,5.86,35.8,142,34
AGO,2011,7.47,4.65,1.58,16.90,17.21,,,6.30,,2,17
AIA,2011,2.95,,,,,,,,,19,29
ALA,2011,3.52,,,,,,,,,150,154
ALB,2011,6.23,2.56,1.65,14.88,15.36,,,5.03,,150,39
AND,2011,5.02,,,11.32,13.10,,,,,150,39
ANT,2011,5.16,,0.09,,,,,,,19,29
ARE,2011,9.38,5.85,4.46,15.98,19.00,,,7.26,,142,145
ARG,2011,10.02,6.32,4.74,17.54,19.06,,,10.55,,19,5
ARM,2011,5.96,2.32,1.63,14.90,15.42,,,6.56,35,142,145
ASM,2011,2.85,,-1.94,10.92,,,,,,9,61
ATA,2011,,,-5.59,,,,,,,0,0
ATF,2011,,,,,,,,,,0,0
ATG,2011,4.65,0.12,-1.24,11.39,13.15,,,2.28,,19,29
AUS,2011,9.55,7.24,5.42,16.92,19.73,,,12.07,,9,53
AUT,2011,8.31,6.06,4.18,15.94,17.99,,,8.09,,150,155
AZE,2011,7.04,4.19,2.68,16.03,17.33,,,7.04,7.6,142,145
BDI,2011,3.82,0.86,-1.44,16.10,12.25,,,6.19,,2,14
BEL,2011,9.41,6.27,4.42,16.22,18.40,,,7.93,,150,155
BEN,2011,5.51,1.99,-0.15,16.10,15.42,,,9.77,36.2,2,11
BFA,2011,5.73,2.34,-0.04,16.59,14.47,,,9.93,,2,11
BGD,2011,7.20,4.86,3.64,18.85,17.86,,,7.19,,142,34
BGR,2011,7.47,4.02,3.45,15.81,17.71,,,6.57,21.2,150,151
BHR,2011,6.29,3.37,2.45,14.08,16.97,,,5.77,,142,145
BHS,2011,4.83,2.07,0.39,12.81,14.46,,,2.55,,19,29
BIH,2011,6.94,2.91,2.45,15.16,16.98,,,6.80,17.9,150,39
BLM,2011,4.00,,,,,,,,,19,29
BLR,2011,8.12,4.09,3.49,16.06,17.96,,,6.32,7.3,150,151
BLZ,2011,4.69,0.40,-0.56,12.70,13.22,,,5.10,,19,13
BMU,2011,3.25,1.71,-0.47,11.08,12.88,,,,,19,21
BOL,2011,7.56,3.18,1.79,16.13,16.60,,,13.26,45,19,5
BRA,2011,11.09,7.81,6.17,19.12,19.90,,,14.41,11.1,19,5
BRB,2011,5.29,1.47,-0.07,12.54,14.26,,,,,19,29
BRN,2011,6.47,2.81,1.17,12.90,16.09,,,6.06,,142,35
BTN,2011,3.42,0.60,0.41,13.50,13.24,,,6.19,,142,34
BVT,2011,,,,,,,,,,0,0
BWA,2011,5.87,2.73,1.15,14.55,15.40,,,11.16,,2,18
CAF,2011,2.75,0.79,-1.82,15.33,12.56,,,12.70,,2,17
CAN,2011,10.87,7.48,6.30,17.35,20.00,,,12.73,,19,21
CCK,2011,,,,,,,,,,0,0
CHE,2011,8.61,6.55,4.07,15.88,17.42,,,7.91,,150,155
CHL,2011,8.65,5.53,4.06,16.66,18.19,,,7.46,22.2,19,5
CHN,2011,12.10,8.90,8.36,21.02,22.92,,,12.43,,142,30
CIV,2011,6.45,3.23,1.36,16.84,15.68,,,,,2,11
CMR,2011,5.96,3.28,1.67,16.87,15.55,,,11.02,,2,17
COD,2011,6.52,3.25,1.96,18.04,15.05,,,13.39,,2,17
COG,2011,6.46,2.67,-0.38,15.25,14.63,,,9.95,46.5,2,17
COK,2011,,,-3.51,,,,,,,9,61
COL,2011,8.97,5.82,3.92,17.65,18.10,,,8.18,34.1,19,5
COM,2011,,-0.57,-3.22,13.48,11.97,,,1.49,,2,14
CPV,2011,3.67,0.62,-1.25,13.11,12.96,,,,,2,11
CRI,2011,7.01,3.72,2.15,15.34,15.88,,,5.93,21.7,19,13
CUB,2011,7.21,4.22,2.64,16.24,17.40,,,7.10,,19,29
CXR,2011,,,,,,,,,,0,0
CYM,2011,4.24,,-0.59,10.94,13.28,,,,,19,29
CYP,2011,7.10,3.21,1.48,13.93,15.83,,,5.74,,142,145
CZE,2011,8.54,5.43,4.10,16.17,18.51,,,8.20,9.6,150,151
DEU,2011,10.46,8.23,6.30,18.22,20.41,,,10.20,,150,155
DJI,2011,3.78,0.21,-1.18,13.64,13.07,,,2.83,,2,14
DMA,2011,1.06,-0.68,-2.40,11.18,11.73,,,,,19,29
DNK,2011,7.69,5.83,3.49,15.53,17.51,,,7.47,,150,154
DOM,2011,7.21,4.06,2.42,16.12,16.90,,,5.05,40.4,19,29
DZA,2011,9.42,5.29,3.64,17.42,18.62,,,6.92,,2,15
ECU,2011,8.36,4.37,2.89,16.54,17.39,,,4.95,28.6,19,5
EGY,2011,10.51,5.46,4.90,18.24,19.21,,,8.29,,2,15
ERI,2011,3.78,0.96,-1.31,15.38,13.16,,,2.89,,2,14
ESH,2011,5.02,,-2.48,,,,,,,2,15
ESP,2011,10.61,7.31,5.51,17.66,19.42,,,9.46,,150,39
EST,2011,6.95,3.13,2.04,14.10,16.74,,,4.16,17.5,150,154
ETH,2011,6.02,3.46,1.60,18.31,15.84,,,11.21,,2,14
FIN,2011,9.28,5.61,4.39,15.50,17.82,,,7.16,,150,154
FJI,2011,1.56,1.29,-0.25,13.67,14.03,,,3.95,,9,54
FLK,2011,,,-4.50,,,,,,,19,5
FRA,2011,10.66,7.96,6.09,18.00,19.64,,,9.99,,150,155
FRO,2011,2.84,,-1.42,10.79,13.25,,,,,150,154
FSM,2011,,-1.17,,11.55,11.76,,,,,9,57
GAB,2011,6.39,2.93,0.46,14.27,14.62,,,10.05,,2,17
GBR,2011,10.42,7.86,5.77,17.96,19.92,,,9.57,,150,154
GEO,2011,6.47,2.67,2.13,15.32,15.89,,,5.43,17.7,142,145
GGY,2011,3.08,,,,,,,,,150,154
GHA,2011,7.18,3.68,2.04,17.03,16.13,,,11.00,,2,11
GIB,2011,2.04,,-1.86,,,,,,,150,39
GIN,2011,4.34,1.62,-0.12,16.24,14.77,,,10.82,,2,11
GLP,2011,5.80,,0.43,,,,,,,19,29
GMB,2011,4.36,-0.10,-1.54,14.37,12.95,,,7.45,,2,11
GNB,2011,2.66,0.10,-2.97,14.33,12.41,,,8.49,,2,11
GNQ,2011,4.97,2.76,-2.41,13.53,15.72,,,,,2,17
GRC,2011,8.56,5.67,4.03,16.22,18.25,,,7.30,,150,39
GRD,2011,3.48,-0.25,-1.71,11.56,12.44,,,0.99,,19,29
GRL,2011,3.35,,-1.21,10.95,13.47,,,,,19,21
GTM,2011,7.05,3.86,2.15,16.53,16.24,,,8.52,53.7,19,13
GUF,2011,4.86,,-0.38,,,,,,,19,5
GUM,2011,5.51,,0.48,11.99,,,,,,9,57
GUY,2011,4.53,0.95,-0.70,13.54,14.39,,,2.89,,19,5
HKG,2011,6.75,5.52,3.68,15.77,17.51,,,5.01,,142,30
HMD,2011,,,,,,,,,,0,0
HND,2011,6.92,2.87,1.56,15.85,15.95,,,7.40,61.9,19,13
HRV,2011,7.82,4.13,2.76,15.27,16.84,,,4.49,20.5,150,39
HTI,2011,5.04,2.02,-1.32,16.13,14.61,,,4.41,,19,29
HUN,2011,8.00,4.94,3.60,16.12,17.70,,,7.49,14,150,151
IDN,2011,9.32,6.74,5.06,19.32,20.15,,,7.85,12.5,142,35
IMN,2011,3.49,,,11.35,,,,,,150,154
IND,2011,10.96,7.54,6.69,20.94,21.45,,,11.94,21.9,142,34
IOT,2011,,,,,,,,,,0,0
IRL,2011,7.71,5.47,3.20,15.34,17.40,,,7.16,,150,154
IRN,2011,10.50,6.27,5.23,18.14,20.19,,,8.54,,142,34
IRQ,2011,9.39,5.22,3.68,17.28,18.71,,,6.13,,142,145
ISL,2011,6.56,2.69,2.81,12.67,14.45,,,5.57,,150,154
ISR,2011,8.80,5.55,3.92,15.87,18.06,,,7.94,,142,145
ITA,2011,11.02,7.73,5.74,17.90,19.80,,,9.66,,150,39
JAM,2011,6.30,2.67,1.15,14.81,15.86,,,5.11,,19,29
JEY,2011,3.61,,,,,,,,,150,154
JOR,2011,8.20,3.36,2.59,15.64,16.92,,,5.26,,142,145
JPN,2011,10.93,8.68,6.89,18.67,20.90,,,11.18,,142,30
KAZ,2011,9.10,5.24,4.33,16.62,19.38,,,10.32,5.5,142,143
KEN,2011,6.30,3.74,1.85,17.54,16.42,,,7.25,,2,14
KGZ,2011,6.30,1.82,2.19,15.52,15.70,,,4.22,36.8,142,143
KHM,2011,5.61,2.55,0.85,16.50,15.32,,,11.20,20.5,142,35
KIR,2011,,-1.76,-3.76,11.56,11.04,,,,,9,57
KNA,2011,3.73,-0.32,-2.05,10.88,12.50,,,1.69,,19,29
KOR,2011,10.02,7.09,6.16,17.72,20.19,,,9.10,,142,30
KWT,2011,8.12,5.04,3.85,14.99,18.33,,,7.28,,142,145
LAO,2011,5.84,2.11,0.88,15.67,14.00,,,11.83,,142,35
LBN,2011,7.44,3.69,2.67,15.29,16.84,,,1.27,,142,145
LBR,2011,3.08,0.43,-1.29,15.22,13.70,,,5.78,,2,11
LBY,2011,8.81,3.55,3.10,15.65,17.48,,,5.90,,2,15
LCA,2011,4.54,0.25,-1.09,12.10,12.92,,,,,19,29
LIE,2011,4.42,,,10.51,10.85,,,,,150,155
LKA,2011,6.85,4.08,2.28,16.85,16.54,,,4.51,,142,34
LSO,2011,4.42,0.91,-0.26,14.52,14.60,,,7.34,,2,18
LTU,2011,7.18,3.76,2.23,14.92,16.44,,,7.17,18.6,150,154
LUX,2011,6.37,4.08,1.86,13.16,16.20,,,4.98,,150,155
LVA,2011,6.81,3.35,1.87,14.54,15.87,,,7.20,19.2,150,154
MAC,2011,1.90,3.60,1.35,13.21,13.97,,,,,142,30
MAF,2011,3.76,,,10.33,,,,,,19,29
MAR,2011,8.48,4.60,3.23,17.30,17.85,,,2.75,,2,15
MCO,2011,2.45,1.80,,10.52,,,,,,150,155
MDA,2011,5.83,1.95,,15.09,15.42,,,3.53,17.5,150,151
MDG,2011,4.76,2.29,0.16,16.89,14.71,,,11.38,,2,14
MDV,2011,,0.77,-1.40,12.84,13.91,,,,,142,34
MEX,2011,10.57,7.06,5.46,18.61,19.96,,,10.10,,19,13
MHL,2011,,-1.75,,10.87,11.54,,,,,9,57
MKD,2011,6.32,2.34,2.05,14.54,16.05,,,5.23,26.8,150,39
MLI,2011,5.80,2.37,-0.16,16.57,14.04,,,10.78,,2,11
MLT,2011,5.63,2.23,0.59,12.94,14.74,,,5.15,,150,39
MMR,2011,7.05,,2.04,17.77,16.16,,,12.91,,142,35
MNE,2011,5.91,1.50,1.24,13.34,14.76,,,,9.3,150,39
MNG,2011,6.17,2.17,1.40,14.83,16.76,,,7.70,33.7,142,30
MNP,2011,3.89,,,10.88,,,,,,9,57
MOZ,2011,6.55,2.58,2.38,17.04,15.00,,,12.81,,2,14
MRT,2011,5.19,1.42,-0.11,15.12,14.65,,,7.22,,2,11
MSR,2011,,,-3.80,,,,,,,19,29
MTQ,2011,6.14,,0.46,,,,,,,19,29
MUS,2011,5.53,2.42,0.89,14.04,15.18,,,3.27,,2,14
MWI,2011,5.71,1.73,0.66,16.54,14.00,,,9.46,,2,14
MYS,2011,9.39,5.67,4.74,17.17,19.23,,,8.26,,142,35
MYT,2011,1.95,,,,,,,,,2,14
NAM,2011,5.89,2.52,1.29,14.62,14.84,,,10.17,,2,18
NCL,2011,4.57,,0.84,12.45,15.16,,,1.10,,9,54
NER,2011,5.08,1.86,-0.12,16.65,14.17,,,7.25,48.9,2,11
NFK,2011,,,,,,,,,,9,53
NGA,2011,9.02,6.02,3.14,18.91,18.29,,,11.24,,2,11
NIC,2011,6.21,2.29,1.12,15.57,15.40,,,7.04,,19,13
NIU,2011,,,-5.88,,,,,,,9,61
NLD,2011,9.29,6.80,4.71,16.63,18.94,,,8.50,,150,155
NOR,2011,9.04,6.20,4.73,15.42,17.63,,,7.51,,150,154
NPL,2011,4.64,2.94,1.13,17.12,15.28,,,6.68,,142,34
NRU,2011,,,-3.76,,,,,,,9,57
NZL,2011,7.63,5.10,3.70,15.29,17.26,,,7.48,,9,53
OMN,2011,8.92,4.24,2.85,14.98,17.99,,,5.92,,142,145
PAK,2011,9.10,5.36,4.30,18.97,18.91,,,7.05,,142,34
PAN,2011,6.84,3.50,1.89,15.12,16.08,,,4.81,27.6,19,13
PCN,2011,,,,,,,,,,9,61
PER,2011,8.32,5.14,3.58,17.21,17.79,,,8.64,27.8,19,5
PHL,2011,7.96,5.41,4.07,18.36,18.22,,,8.27,,142,35
PLW,2011,,-1.53,,9.93,12.32,,,,,9,57
PNG,2011,4.73,2.52,1.13,15.76,15.47,,,7.69,,9,54
POL,2011,9.94,6.26,4.93,17.45,19.58,,,7.86,17.1,150,151
PRI,2011,8.32,4.61,2.92,15.12,,,,1.10,,19,29
PRK,2011,4.73,,2.75,17.02,18.11,,,8.34,,142,30
PRT,2011,9.44,5.50,3.88,16.17,17.72,,,8.65,,150,39
PRY,2011,7.49,3.22,2.01,15.66,15.48,,,9.92,32.4,19,5
PSE,2011,7.73,2.35,1.63,15.18,14.63,,,,25.8,142,145
PYF,2011,4.39,,-0.35,12.51,13.66,,,,,9,61
QAT,2011,8.11,5.13,3.31,14.46,18.24,,,,,142,145
REU,2011,6.22,,0.97,,,,,,,2,14
ROU,2011,8.52,5.21,3.91,16.82,18.26,,,6.88,22.6,150,151
RUS,2011,11.58,7.55,6.77,18.78,21.32,,,12.83,12.7,150,151
RWA,2011,4.58,1.86,-1.04,16.17,13.41,,,7.12,,2,14
SAU,2011,10.65,6.51,5.35,17.18,20.07,,,7.97,,142,145
SDN,2011,7.63,4.21,1.95,17.42,16.37,,,12.60,,2,15
SEN,2011,5.93,2.67,0.86,16.41,15.88,,,10.33,,2,11
SGP,2011,6.32,5.61,3.77,15.46,16.92,,,8.10,,142,35
SGS,2011,,,,,,,,,,0,0
SHN,2011,,,-4.90,,,,,,,2,11
SJM,2011,,,,,,,,,,150,154
SLB,2011,,-0.14,-2.54,13.19,12.20,,,,,9,54
SLE,2011,3.53,1.07,-2.00,15.59,13.71,,,8.67,52.9,2,11
SLV,2011,6.44,3.14,1.69,15.62,15.72,,,4.94,40.6,19,13
SMR,2011,4.17,,,10.34,,,,,,150,39
SOM,2011,3.59,,-1.24,16.10,13.26,,,5.07,,2,14
SPM,2011,2.19,,-3.24,,,,,,,19,21
SRB,2011,8.31,3.84,3.39,15.79,17.71,,,,24.6,150,39
STP,2011,,-1.39,-2.89,12.07,11.54,,,,,2,17
SUR,2011,5.65,1.49,0.40,13.17,14.46,,,2.71,,19,5
SVK,2011,7.41,4.58,3.28,15.50,17.35,,,7.36,13.2,150,151
SVN,2011,6.65,3.94,2.57,14.53,16.55,,,6.40,13.5,150,39
SWE,2011,9.35,6.33,4.85,16.06,17.77,,,7.70,,150,154
SWZ,2011,4.90,1.42,0.25,14.01,13.86,,,6.35,,2,18
SYC,2011,3.17,0.06,-1.26,11.38,13.30,,,,,2,14
SYR,2011,8.49,,3.51,16.86,17.87,,,4.58,,142,145
TCA,2011,3.15,,-1.76,10.36,12.16,,,,,19,29
TCD,2011,5.10,2.50,-1.68,16.32,13.20,,,11.24,46.7,2,17
TGO,2011,5.05,1.32,-0.12,15.70,14.56,,,9.36,58.7,2,11
THA,2011,9.55,5.85,4.94,18.02,19.53,,,10.73,13.2,142,35
TJK,2011,5.33,1.88,2.67,15.86,14.84,,,5.91,,142,143
TKL,2011,,,,,,,,,,9,61
TKM,2011,7.97,3.38,2.44,15.45,17.95,,,6.39,,142,143
TLS,2011,3.06,0.12,,13.93,12.12,,,,,142,35
TON,2011,,-0.86,-3.11,11.56,11.54,,,,,9,61
TTO,2011,7.41,3.16,2.08,14.10,17.72,,,5.56,,19,29
TUN,2011,8.02,3.83,2.56,16.18,17.06,,,2.93,,2,15
TUR,2011,9.74,6.65,5.23,18.11,19.59,,,9.03,2.8,142,145
TUV,2011,,-3.24,,9.19,,,,,,9,61
TWN,2011,9.22,,5.42,,,,,,,0,0
TZA,2011,6.02,3.17,1.36,17.67,15.80,,,12.14,28.2,2,14
UGA,2011,5.33,2.74,0.83,17.35,15.15,,,10.67,,2,14
UKR,2011,9.10,5.10,5.05,17.64,19.47,,,7.57,7.8,150,151
UMI,2011,,,,,,,,,,0,0
URY,2011,7.43,3.86,2.23,15.04,15.87,,,5.17,13.7,19,5
USA,2011,12.97,9.65,8.26,19.56,22.39,,,12.87,,19,21
UZB,2011,8.17,3.81,3.81,17.19,18.56,,,6.90,16,142,143
VAT,2011,-0.99,,,,,,,,,150,39
VCT,2011,2.61,-0.39,,11.60,12.38,,,1.12,,19,29
VEN,2011,9.56,5.76,4.55,17.20,19.06,,,10.11,31.6,19,5
VGB,2011,3.16,,-3.01,,,,,,,19,29
VIR,2011,5.14,,-0.30,11.57,,,,,,19,29
VNM,2011,8.75,4.91,4.52,18.29,18.97,,,8.65,,142,35
VUT,2011,3.19,-0.23,-2.97,12.40,11.87,,,,,9,54
WLF,2011,,,,,,,,,,9,61
WSM,2011,,-0.31,-2.23,12.14,12.37,,,,,9,61
YEM,2011,7.65,3.37,1.42,17.00,16.92,,,2.77,,142,145
ZAF,2011,9.62,6.00,5.39,17.76,19.98,,,10.56,,2,18
ZMB,2011,6.80,3.17,2.09,16.48,14.93,,,12.62,,2,14
ZWE,2011,6.39,2.39,1.88,16.47,16.10,,,10.76,72.3,2,14
ABW,2010,4.78,0.90,-0.09,11.53,14.71,,,,,19,29
AFG,2010,6.69,2.77,0.89,17.15,15.95,,,5.86,,142,34
AGO,2010,7.49,4.41,1.54,16.87,17.21,8.18,9.83,6.30,,2,17
AIA,2010,3.46,,,,,,,,,19,29
ALA,2010,3.99,,,,,,,,,150,154
ALB,2010,6.20,2.48,1.57,14.88,15.30,7.02,7.86,5.03,,150,39
AND,2010,5.17,,,11.34,13.16,,,,,150,39
ANT,2010,5.18,,0.09,,,,,,,19,29
ARE,2010,9.42,5.66,4.40,15.94,18.94,7.77,10.15,7.26,,142,145
ARG,2010,10.13,6.14,4.71,17.53,19.00,10.86,11.37,10.55,,19,5
ARM,2010,6.09,2.23,1.53,14.90,15.25,6.89,8.11,6.56,35.8,142,145
ASM,2010,3.24,,-1.91,10.93,,,,,,9,61
ATA,2010,,,-5.59,,,,,,,0,0
ATF,2010,,,,,,,,,,0,0
ATG,2010,4.71,0.13,-1.26,11.38,13.17,,,2.28,,19,29
AUS,2010,9.68,7.04,5.41,16.91,19.72,10.85,11.72,12.07,,9,53
AUT,2010,8.87,5.97,4.15,15.94,18.03,8.23,9.03,8.09,,150,155
AZE,2010,7.38,3.97,2.61,16.02,17.24,7.88,9.82,7.04,9.1,142,145
BDI,2010,4.20,0.71,-1.48,16.06,12.18,,,6.19,,2,14
BEL,2010,9.88,6.18,4.44,16.21,18.51,9.22,9.17,7.93,,150,155
BEN,2010,5.64,1.88,-0.14,16.07,15.45,8.47,8.83,9.77,,2,11
BFA,2010,5.81,2.22,-0.12,16.56,14.34,,,9.93,,2,11
BGD,2010,7.36,4.75,3.58,18.84,17.84,10.17,11.54,7.19,31.5,142,34
BGR,2010,7.76,3.89,3.41,15.82,17.60,8.41,9.39,6.57,22.2,150,151
BHR,2010,6.29,3.25,2.44,14.05,16.96,4.86,8.11,5.77,,142,145
BHS,2010,5.00,2.07,0.42,12.80,14.72,,,2.55,,19,29
BIH,2010,7.24,2.82,2.40,15.16,16.87,7.00,8.03,6.80,,150,39
BLM,2010,3.93,,,,,,,,,19,29
BLR,2010,8.60,4.01,3.46,16.07,17.95,9.51,9.71,6.32,5.2,150,151
BLZ,2010,4.67,0.33,-0.55,12.68,13.22,,,5.10,,19,13
BMU,2010,3.35,1.75,-0.45,11.08,13.07,,,,,19,21
BOL,2010,7.66,2.98,1.75,16.11,16.55,9.16,10.03,10.96,,19,5
BRA,2010,11.26,7.67,6.12,19.11,19.86,12.24,13.00,14.41,,19,5
BRB,2010,5.48,1.49,-0.01,12.54,14.23,,,,,19,29
BRN,2010,6.53,2.52,1.16,12.88,15.97,5.82,8.40,6.06,,142,35
BTN,2010,3.44,0.46,0.60,13.49,13.10,,,6.19,,142,34
BVT,2010,,,,,,,,,,0,0
BWA,2010,6.23,2.62,1.15,14.53,15.47,7.69,8.38,11.16,,2,18
CAF,2010,3.36,0.69,-1.91,15.31,12.48,,,12.70,,2,17
CAN,2010,11.04,7.39,6.27,17.34,20.02,10.40,11.56,11.20,,19,21
CCK,2010,,,,,,,,,,0,0
CHE,2010,9.22,6.37,4.10,15.87,17.47,7.80,8.52,7.91,,150,155
CHL,2010,8.76,5.38,3.99,16.65,18.10,9.08,9.80,7.46,,19,5
CHN,2010,12.20,8.69,8.24,21.01,22.83,13.22,14.31,12.43,,142,30
CIV,2010,6.62,3.21,1.43,16.82,15.59,9.19,9.68,,,2,11
CMR,2010,6.08,3.16,1.65,16.84,15.72,9.52,9.81,11.02,,2,17
COD,2010,6.71,3.07,1.90,18.00,14.99,11.11,11.21,13.39,,2,17
COG,2010,6.79,2.49,-0.55,15.22,14.47,7.97,8.86,9.95,,2,17
COK,2010,,,-3.51,,,,,,,9,61
COL,2010,9.19,5.66,3.82,17.64,18.18,10.13,11.11,8.18,37.2,19,5
